state,abbrev,total,speeding,alcohol,distracted,previous,ins_premium,ins_losses,rank
Alabama,AL,18.8,7.332,5.64,0.752,3.76,784.55,145.08,40
Alaska,AK,18.1,7.421,4.525,1.81,1.086,1053.48,133.93,36
Arizona,AZ,18.6,6.51,5.208,2.976,0.744,899.47,110.35,39
Arkansas,AR,22.4,4.032,5.824,1.344,1.12,827.34,142.39,48
California,CA,12,4.2,3.36,1.08,1.32,878.41,165.63,10
Colorado,CO,13.6,5.032,3.808,2.856,0.68,835.5,139.91,16
Connecticut,CT,10.8,4.968,3.888,1.404,1.944,1068.73,167.02,5
Delaware,DE,16.2,6.156,4.86,2.106,0.162,1137.87,151.48,29
District of Columbia,DC,5.9,2.006,1.593,0,0,1273.89,136.05,1
Florida,FL,17.9,3.759,5.191,1.432,1.074,1160.13,144.18,35
Georgia,GA,15.6,2.964,3.9,0.78,1.092,913.15,142.8,26
Hawaii,HI,17.5,9.45,7.175,3.15,2.275,861.18,120.92,32
Idaho,ID,15.3,5.508,4.437,2.295,0.306,641.96,82.75,25
Illinois,IL,12.8,4.608,4.352,0.768,0.512,803.11,139.15,14
Indiana,IN,14.5,3.625,4.205,0.725,0.725,710.46,108.92,21
Iowa,IA,15.7,2.669,3.925,0.471,2.041,649.06,114.47,27
Kansas,KS,17.8,4.806,4.272,4.094,2.67,780.45,133.8,34
Kentucky,KY,21.4,4.066,4.922,4.708,5.136,872.51,137.13,46
Louisiana,LA,20.5,7.175,6.765,5.535,0.41,1281.55,194.78,45
Maine,ME,15.1,5.738,4.53,1.963,2.416,661.88,96.57,24
Maryland,MD,12.5,4.25,4,3.625,0.125,1048.78,192.7,12
Massachusetts,MA,8.2,1.886,2.87,1.066,1.64,1011.14,135.63,2
Michigan,MI,14.1,3.384,3.948,0.705,3.243,1110.61,152.26,19
Minnesota,MN,9.6,2.208,2.784,1.152,1.152,777.18,133.35,3
Mississippi,MS,17.6,2.64,5.456,15.84,0,896.07,155.77,33
Missouri,MO,16.1,6.923,5.474,1.288,2.576,790.32,144.45,28
Montana,MT,21.4,8.346,9.416,3.424,3.21,816.21,85.15,47
Nebraska,NE,14.9,1.937,5.215,1.043,1.49,732.28,114.82,23
Nevada,NV,14.7,5.439,4.704,0.735,0.147,1029.87,138.71,22
New Hampshire,NH,11.6,4.06,3.48,1.508,1.972,746.54,120.21,9
New Jersey,NJ,11.2,1.792,3.136,1.568,2.464,1301.52,159.85,7
New Mexico,NM,18.4,3.496,4.968,6.072,0.368,869.85,120.75,38
New York,NY,12.3,3.936,3.567,1.476,2.46,1234.31,150.01,11
North Carolina,NC,16.8,6.552,5.208,1.008,3.192,708.24,127.82,30
North Dakota,ND,23.9,5.497,10.038,0.239,3.346,688.75,109.72,50
Ohio,OH,14.1,3.948,4.794,0.141,2.538,697.73,133.52,20
Oklahoma,OK,19.9,6.368,5.771,1.592,1.194,881.51,178.86,44
Oregon,OR,12.8,4.224,3.328,4.224,1.28,804.71,104.61,15
Pennsylvania,PA,18.2,9.1,5.642,0.728,2.184,905.99,153.86,37
Rhode Island,RI,11.1,3.774,4.218,0.888,2.331,1148.99,148.58,6
South Carolina,SC,23.9,9.082,9.799,0.956,4.541,858.97,116.29,51
South Dakota,SD,19.4,6.014,6.402,0.388,2.716,669.31,96.87,41
Tennessee,TN,19.5,4.095,5.655,3.51,3.705,767.91,155.57,43
Texas,TX,19.4,7.76,7.372,1.746,2.522,1004.75,156.83,42
Utah,UT,11.3,4.859,1.808,1.356,0.452,809.38,109.48,8
Vermont,VT,13.6,4.08,4.08,0.544,0.68,716.2,109.61,17
Virginia,VA,12.7,2.413,3.429,1.651,1.524,768.95,153.72,13
Washington,WA,10.6,4.452,3.498,1.908,1.484,890.03,111.62,4
West Virginia,WV,23.8,8.092,6.664,0.714,3.094,992.61,152.56,49
Wisconsin,WI,13.8,4.968,4.554,8.418,2.208,670.31,106.62,18
Wyoming,WY,17.4,7.308,5.568,3.306,1.74,791.14,122.04,31
